fromData,toDate,queryType,key,name,optimisedDate,totalConsumption
2018-08-03T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425410,London Peckham,2018-08-03,20196.01
2018-08-30T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425421,London Petts Wood,2018-08-30,34102.06
2018-09-24T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425096,London Southwark,2018-09-24,10344.70
2018-08-21T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425156,London Stamford Hill,2018-08-21,35354.70
2018-08-10T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425136,London Wimbledon,2018-08-10,37636.72
2018-08-06T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425095,London Wood Green,2018-08-06,69696.99
2018-08-29T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425108,Loughton High Rd,2018-08-29,50486.26
2018-09-15T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425115,Lowestoft Tower Rd,2018-09-15,54087.34
2018-09-26T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425197,Malvern Roman Way,2018-09-26,103112.16
2018-08-06T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425182,Mansfield Sutton Road,2018-08-06,120853.87
2018-07-31T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425171,Margate,2018-07-31,39893.62
2018-10-09T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425412,Melton Mowbray Sherrard St,2018-10-09,16324.33
2018-10-02T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425172,Nailsworth,2018-10-02,17066.96
2018-09-21T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425223,Newport (Gwent) Rogerstone,2018-09-21,140430.21
2018-09-20T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425201,Northampton Kettering Road,2018-09-20,71957.68
2018-09-18T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425210,Northampton Victoria Promenade,2018-09-18,97852.17
2018-08-28T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425170,Norwich Catton,2018-08-28,30654.24
2018-10-11T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425248,Nottingham Gamston,2018-10-11,32040.42
2018-08-14T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425205,Oxted Station Yard,2018-08-14,111805.16
2018-10-07T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425202,Peterborough Lincoln Rd,2018-10-07,824.70
2018-10-11T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425238,Portsmouth,2018-10-11,9955.74
2018-10-05T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425200,Reading Basingstoke Lane,2018-10-05,29646.06
2018-09-25T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425231,Ross on Wye Station St,2018-09-25,83467.10
2018-08-18T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425243,Royston,2018-08-18,45226.83
